Property ID|Property|owner_id|comp_id|Owner|owner_publish|Symbol|pctOwner
4215|Roosevelt Galleria|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4217|University Commons|76|76|Regency Centers|Regency Centers (REG)|REG|1
4218|Jackson Square|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4219|Tigard Promenade|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4220|Sunnyside Village Square|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4221|Gateway Centre|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4222|Coal Creek Marketplace|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4223|Trenton Crossing|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
4224|Wake Forest Crossing|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4225|146 Geary Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4226|Union and Fillmore Collection - 3 properties|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.2079
4228|91 Danbury Road|76|76|Regency Centers|Regency Centers (REG)|REG|1
4229|The Abbot|76|76|Regency Centers|Regency Centers (REG)|REG|1
4230|The Shops at Sunset Place|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.85
4231|Johnson Creek Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4232|Iron Horse Plaza|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4233|Bellevue Marketplace|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4234|Four Corner Square|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4235|Warner Plaza|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4236|Circle East|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4237|Cross Bay Commons (Queens)|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4238|West Gray|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
4241|The Hub|22|22|Site Centers|Site Centers (SITC)|SITC|0.05
4242|Ashbridge Square|22|22|Site Centers|Site Centers (SITC)|SITC|0.05
4244|Millenia Crossing|22|22|Site Centers|Site Centers (SITC)|SITC|0.05
