sector_id|market_id|Sector|Market|Distance to CBD|Commute Time|Median Household Income|Distance to Interstate|Sum of Interstates|Distance to Air / Rail|Population Density|Unemployment Rate|Distance to Seaport|500-Mile Population Ring|% College Degree|Median Home Age|Grade|Housing Affordability|Median Home Price|Grade Rank|% Office Establishments|Fiscal Health|Supply Barriers|Desirability Index|Cost of Living|Spending Power
9|1282|Office|Columbus|8.62957444|22.85155756|70|1.8137395|137.83817187|5.51335991|1730|0.05284941|354.12659563||0.41052723|35.11305877|B|Cheap|200|34|0.25877556|Stable|Very Low|45.58389601||
9|1316|Office|Dallas / Fort Worth|12.28279967|27.96552712|74|3.66937688|270.46396796|8.37244282|2690|0.06532277|234.12545059||0.36381071|34.93628034|A-|Neutral|230|17|0.28803841|Stable|Low|64.55044827||
9|1521|Office|D.C. Metro|11.61779727|33.40912296|109|2.25234345|142.21575629|6.76671771|4090|0.05984848|35.95747867||0.54383574|37.07185594|A|Expensive|500|6|0.33732168|Healthy|High|42.25922506||
9|1891|Office|Weighted Average|12.95318186|29.87564918|80|3.07730322|6566.67371419|16.23525469|2280|0.07322866|207.99912411||0.39736107|37.79120891|A-||390||0.26940722|||52.67218121||
11|150|Strip Center|Atlanta|17.37510343|32.71458595|77|3.80374935|271.1590013|11.76498129|1620|0.0512639|220.23883352||0.42853922|36.29745178|A-|Cheap|250|17|0.30136875|Healthy|Low|63.58802037|50100|Very Low
11|151|Strip Center|Austin|11.65937451|27.36638528|83|4.37717566|60.99973802|9.62021151|1370|0.05359573|150.92060231||0.48717293|35.2802691|A|Expensive|320|7|0.32049528|Stable|Very Low|87.489551|53800|High
11|152|Strip Center|Baltimore|11.53767346|31.05129878|87|2.31313272|192.83916168|8.51202732|1740|0.06027081|24.46139423||0.41079003|38.81046863|B+|Neutral|310|26|0.26386454|Healthy|Average|31.91365938|56300|High
11|154|Strip Center|Boston|13.57585455|32.61319656|98|2.84839313|260.39845215|10.48815329|2040|0.06816986|14.50116465||0.51421198|39.16333478|A|Very Expensive|540|8|0.25263947|Stable|Low|60.19824977|68100|High
11|156|Strip Center|New Jersey (Central)|23.2224543|32.87469288|84|6.11746943|137.90164184|16.37559893|1450|0.06302143|53.04006974||0.43381575|41.39624415|B|Expensive|410|39|0.24712747|Concerning|Average|26.6070239|61400|Very High
11|158|Strip Center|Charlotte|8.71108631|27.00758625|69|1.73370703|123.87592845|6.88845064|1910|0.05835094|177.51906293||0.46191221|36.09972675|B+|Cheap|250|24|0.29081342|Stable|Very Low|67.51945752|48900|Low
11|160|Strip Center|Chicago|20.03427424|32.86439663|80|2.6913172|415.90121554|7.57197761|2280|0.09112042|774.00364553||0.40421341|38.25267041|C+|Expensive|290|46|0.26034417|Concerning|Low|42.81071404|58100|Average
11|161|Strip Center|Cincinnati|11.54650835|24.16424974|71|2.16074852|190.7126036|9.11395798|1250|0.05287605|522.81649798||0.37496837|38.10188709|B|Cheap|190|43|0.24239922|Stable|Very Low|43.41586727|47300|Low
11|162|Strip Center|Cleveland|14.91684995|24.41493636|60|1.98612471|279.02001671|8.7259497|1290|0.07329632|320.72872887||0.33965413|41.49737616|B|Very Cheap|160|44|0.24403858|Stable|Very Low|40.24624446|45100|Very Low
