sector_id|market_id|Month|Sector|Market|All Employees: Non Farm NSA (K)
100|1|01/12/1998|GSA Universe|U.S.|128279
100|1|01/01/1999|GSA Universe|U.S.|128448
100|1|01/02/1999|GSA Universe|U.S.|125697
100|1|01/03/1999|GSA Universe|U.S.|126685
100|1|01/04/1999|GSA Universe|U.S.|127398
100|1|01/05/1999|GSA Universe|U.S.|128543
100|1|01/06/1999|GSA Universe|U.S.|129411
100|1|01/07/1999|GSA Universe|U.S.|130138
100|1|01/08/1999|GSA Universe|U.S.|129269
100|1|01/09/1999|GSA Universe|U.S.|129324
100|1|01/10/1999|GSA Universe|U.S.|130102
100|1|01/11/1999|GSA Universe|U.S.|131037
100|1|01/12/1999|GSA Universe|U.S.|131497
100|1|01/01/2000|GSA Universe|U.S.|131634
100|1|01/02/2000|GSA Universe|U.S.|128992
100|1|01/03/2000|GSA Universe|U.S.|129655
100|1|01/04/2000|GSA Universe|U.S.|130751
100|1|01/05/2000|GSA Universe|U.S.|131749
100|1|01/06/2000|GSA Universe|U.S.|132705
100|1|01/07/2000|GSA Universe|U.S.|133217
100|1|01/08/2000|GSA Universe|U.S.|131998
100|1|01/09/2000|GSA Universe|U.S.|132009
100|1|01/10/2000|GSA Universe|U.S.|132677
100|1|01/11/2000|GSA Universe|U.S.|133236
100|1|01/12/2000|GSA Universe|U.S.|133600
100|1|01/01/2001|GSA Universe|U.S.|133542
100|1|01/02/2001|GSA Universe|U.S.|130668
100|1|01/03/2001|GSA Universe|U.S.|131334
100|1|01/04/2001|GSA Universe|U.S.|131929
100|1|01/05/2001|GSA Universe|U.S.|132335
100|1|01/06/2001|GSA Universe|U.S.|133042
100|1|01/07/2001|GSA Universe|U.S.|133420
100|1|01/08/2001|GSA Universe|U.S.|131932
100|1|01/09/2001|GSA Universe|U.S.|131861
100|1|01/10/2001|GSA Universe|U.S.|132127
100|1|01/11/2001|GSA Universe|U.S.|132329
100|1|01/12/2001|GSA Universe|U.S.|132141
100|1|01/01/2002|GSA Universe|U.S.|131759
100|1|01/02/2002|GSA Universe|U.S.|128875
100|1|01/03/2002|GSA Universe|U.S.|129347
100|1|01/04/2002|GSA Universe|U.S.|129954
100|1|01/05/2002|GSA Universe|U.S.|130543
100|1|01/06/2002|GSA Universe|U.S.|131314
100|1|01/07/2002|GSA Universe|U.S.|131696
100|1|01/08/2002|GSA Universe|U.S.|130254
100|1|01/09/2002|GSA Universe|U.S.|130340
100|1|01/10/2002|GSA Universe|U.S.|130860
100|1|01/11/2002|GSA Universe|U.S.|131530
100|1|01/12/2002|GSA Universe|U.S.|131651
100|1|01/01/2003|GSA Universe|U.S.|131243
100|1|01/02/2003|GSA Universe|U.S.|128561
100|1|01/03/2003|GSA Universe|U.S.|128978
100|1|01/04/2003|GSA Universe|U.S.|129474
100|1|01/05/2003|GSA Universe|U.S.|130132
100|1|01/06/2003|GSA Universe|U.S.|130892
100|1|01/07/2003|GSA Universe|U.S.|131222
100|1|01/08/2003|GSA Universe|U.S.|129883
100|1|01/09/2003|GSA Universe|U.S.|129936
100|1|01/10/2003|GSA Universe|U.S.|130591
100|1|01/11/2003|GSA Universe|U.S.|131384
100|1|01/12/2003|GSA Universe|U.S.|131548
100|1|01/01/2004|GSA Universe|U.S.|131368
100|1|01/02/2004|GSA Universe|U.S.|128709
100|1|01/03/2004|GSA Universe|U.S.|129320
100|1|01/04/2004|GSA Universe|U.S.|130361
100|1|01/05/2004|GSA Universe|U.S.|131477
100|1|01/06/2004|GSA Universe|U.S.|132380
100|1|01/07/2004|GSA Universe|U.S.|132825
100|1|01/08/2004|GSA Universe|U.S.|131664
100|1|01/09/2004|GSA Universe|U.S.|131685
100|1|01/10/2004|GSA Universe|U.S.|132400
100|1|01/11/2004|GSA Universe|U.S.|133380
100|1|01/12/2004|GSA Universe|U.S.|133631
100|1|01/01/2005|GSA Universe|U.S.|133400
100|1|01/02/2005|GSA Universe|U.S.|130696
100|1|01/03/2005|GSA Universe|U.S.|131519
100|1|01/04/2005|GSA Universe|U.S.|132358
100|1|01/05/2005|GSA Universe|U.S.|133572
100|1|01/06/2005|GSA Universe|U.S.|134385
100|1|01/07/2005|GSA Universe|U.S.|135054
100|1|01/08/2005|GSA Universe|U.S.|133993
100|1|01/09/2005|GSA Universe|U.S.|134244
100|1|01/10/2005|GSA Universe|U.S.|134871
100|1|01/11/2005|GSA Universe|U.S.|135599
100|1|01/12/2005|GSA Universe|U.S.|136157
100|1|01/01/2006|GSA Universe|U.S.|135956
100|1|01/02/2006|GSA Universe|U.S.|133303
100|1|01/03/2006|GSA Universe|U.S.|134228
100|1|01/04/2006|GSA Universe|U.S.|135209
100|1|01/05/2006|GSA Universe|U.S.|136123
100|1|01/06/2006|GSA Universe|U.S.|136928
100|1|01/07/2006|GSA Universe|U.S.|137432
100|1|01/08/2006|GSA Universe|U.S.|136255
100|1|01/09/2006|GSA Universe|U.S.|136462
100|1|01/10/2006|GSA Universe|U.S.|137131
100|1|01/11/2006|GSA Universe|U.S.|137831
100|1|01/12/2006|GSA Universe|U.S.|138217
100|1|01/01/2007|GSA Universe|U.S.|138106
100|1|01/02/2007|GSA Universe|U.S.|135317
100|1|01/03/2007|GSA Universe|U.S.|136008
100|1|01/04/2007|GSA Universe|U.S.|136906
100|1|01/05/2007|GSA Universe|U.S.|137712
100|1|01/06/2007|GSA Universe|U.S.|138655
100|1|01/07/2007|GSA Universe|U.S.|139157
100|1|01/08/2007|GSA Universe|U.S.|137760
100|1|01/09/2007|GSA Universe|U.S.|137872
100|1|01/10/2007|GSA Universe|U.S.|138437
100|1|01/11/2007|GSA Universe|U.S.|139180
100|1|01/12/2007|GSA Universe|U.S.|139492
100|1|01/01/2008|GSA Universe|U.S.|139279
100|1|01/02/2008|GSA Universe|U.S.|136250
100|1|01/03/2008|GSA Universe|U.S.|136769
100|1|01/04/2008|GSA Universe|U.S.|137361
100|1|01/05/2008|GSA Universe|U.S.|137896
100|1|01/06/2008|GSA Universe|U.S.|138470
100|1|01/07/2008|GSA Universe|U.S.|138665
100|1|01/08/2008|GSA Universe|U.S.|137185
100|1|01/09/2008|GSA Universe|U.S.|137077
100|1|01/10/2008|GSA Universe|U.S.|137130
100|1|01/11/2008|GSA Universe|U.S.|137425
100|1|01/12/2008|GSA Universe|U.S.|136743
100|1|01/01/2009|GSA Universe|U.S.|135715
100|1|01/02/2009|GSA Universe|U.S.|132024
100|1|01/03/2009|GSA Universe|U.S.|131791
100|1|01/04/2009|GSA Universe|U.S.|131658
100|1|01/05/2009|GSA Universe|U.S.|131842
100|1|01/06/2009|GSA Universe|U.S.|132115
