tranche_id|deal_id|benchmark_id|currency_id|order_id|rate_type_id|rate_type_benchmark_id|flag_abs_clo_cre|Maturity Date|Benchmark|Currency|Rate Type|Benchmark Rate Type|Class Amount ($M)|Denomination Amount|Notional Amount ($M)|Coupon|Average Life (Years)|Price|Spread|% Subordination|Tranche Class|Yield
21|20193002|23|158|1|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|192.597|||0.03675|2.69|100|95|0.346|A-1|0.03604
21|20195004|11|158|1|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|384|||128|4.6|100|128|0.36|A|
22|20193002|23|158|2|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|27.83|||0.03877|2.69|100|115|0.2515|A-2|0.03804
22|20195004|11|158|2|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|36.3|||190|6.5|100|190|0.25|B-1|
23|20193002|23|158|3|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|33.572|||0.03928|2.69|100|120|0.1375|A-3|0.03854
23|20195004|11|158|3|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|29.7|||190|6.5|100|190|0.25|B-2|
24|20193002|23|158|4|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|14.577|||0.04634|5.19|100|200|0.088|M-1|0.04611
24|20195004|11|158|4|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|27.3|||275|6.8|100|275|0.2045|C|
25|20193002|23|158|5|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|11.191||||5.19|99.8464|290|0.05|B-1|0.05511
25|20195004|11|158|5|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|37.5|||375|7|100|375|0.142|D|
26|20193002||158|6|2||0|25/01/2049||US Dollar|Fixed||7.362||||5.19|95.5931||0.025|B-2|0.065
26|20195005|11|158|2|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|100|||160|||160|0.525|A-1R-R|
27|20193003|23|158|1|2|2|0|25/02/2028|Int. Swaps|US Dollar|Fixed|fixed|250|||0.04703|3.38|99.998|212.3||A|0.0475
27|20195004|11|158|6|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|36.3|||650|7.6|100|650|0.0815|E|
28|20193004|2|158|1|1|1|0|27/12/2067|1 mo. Libor|US Dollar|Floating|floating|180|||33|1.12|100|33||A-1|
28|20195004||158|7|1||1|||US Dollar|Floating||49.95|||||||0|Sub|
29|20193004|2|158|2|1|1|0|27/12/2067|1 mo. Libor|US Dollar|Floating|floating|557.4|||90|7|99.6914|95||A-2|
29|20195005|11|158|1|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|190.8|||160|||160|0.525|A-1T-R|
30|20193004|2|158|3|1|1|0|27/12/2067|1 mo. Libor|US Dollar|Floating|floating|10.6|||145|12.34|100|145||B|
30|20195005|11|158|3|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|92|||245|||245|0.0393|B-R|
31|20193005|23|158|1|2|2|0|15/07/2030|Int. Swaps|US Dollar|Fixed|fixed|1200|||0.0352|4.99|99.9771|95|0.095|A|0.03551
31|20195005|11|158|4|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|63.7|||350|||350|0.302|C-R|
32|20193005|23|158|2|2|2|0|15/07/2030|Int. Swaps|US Dollar|Fixed|fixed|49.446|||0.0382|4.99|99.998|125|0.0575|B|0.03851
32|20195005|11|158|5|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|42|||450|||450|0.242|D-R|
33|20191002|41|158|1|2|2|0|15/01/2020|Int. Libor|US Dollar|Fixed|fixed|140|||0.027798|0.11|100|23|0.545|A-1|0.0278
33|20195006|||1|1||1|15/01/2032|||Floating||2.281|2||51||100|51|0|X|
34|20191002|20|158|2|2|2|0|15/09/2021|EDSF|US Dollar|Fixed|fixed|208|||0.0308|0.53|99.9974|38|0.545|A-2A|0.03105
34|20195006|8||2|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|350.7038|307.5||108||100|108|0.385|A|
35|20191002|2|158|3|1|1|0|15/09/2021|1 mo. Libor|US Dollar|Floating|floating|90|||39|0.53|100|39|0.545|A-2B|
35|20195006|||3|2||1|15/01/2032|||Fixed||57.025|50||0.0225||100||0.285|B|
36|20191002|20|158|4|2|2|0|17/10/2022|EDSF|US Dollar|Fixed|fixed|159.48|||0.0318|1.32|99.9964|48|0.545|A-3|0.03204
36|20195006|8||4|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|37.0663|32.5||260||100|260|0.22|C|
37|20191002|20|158|5|2|2|0|15/06/2023|EDSF|US Dollar|Fixed|fixed|113.07|||0.0341|1.89|99.9844|75|0.457|B|0.03443
37|20195006|8||5|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|37.0663|32.5||375||100|375|0.155|D|
38|20191002|23|158|6|2|2|0|15/04/2025|Int. Swaps|US Dollar|Fixed|fixed|164.47|||0.0378|2.55|99.9927|115|0.329|C|0.03813
38|20195006|8||6|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|31.3638|27.5||575||95|650|0.1|E|
39|20191002|23|158|7|2|2|0|15/06/2026|Int. Swaps|US Dollar|Fixed|fixed|158.04|||0.0409|3.45|99.9938|150|0.206|D|0.04127
39|20195006|||8|||1|15/01/2032|||||50.7523|44.5||||||0|M|
40|20193006|23|158|1|2|2|0|14/02/2031|Int. Swaps|US Dollar|Fixed|fixed|430.12|||0.0348|2.59|99.9863|85|0.3475|A|0.03511
40|20195006|8||7|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|14.2563|12.5||862||93|975|0.078|F|
41|20193006|23|158|2|2|2|0|14/02/2031|Int. Swaps|US Dollar|Fixed|fixed|58.55|||0.0379|3.45|99.9749|120|0.258|B|0.03828
41|20195007|11|158|1|1|1|1|20/04/2030|3 mo. Libor|US Dollar|Floating|floating|290|||135|||135||A|
42|20193006|23|158|3|2|2|0|14/02/2031|Int. Swaps|US Dollar|Fixed|fixed|37.62|||0.0389|3.7|99.999|130|0.205|C|0.03922
42|20195007|11|158|2|1|1|1|20/04/2030|3 mo. Libor|US Dollar|Floating|floating|52|||270|||270||B|
43|20193006|23|158|4|2|2|0|14/02/2031|Int. Swaps|US Dollar|Fixed|fixed|47.43|||0.0422|3.97|99.9689|165|0.128|D|0.04266
43|20195007|11|158|3|1|1|1|20/04/2030|3 mo. Libor|US Dollar|Floating|floating|25.2|||385|||385||C|
44|20193006|23|158|5|2|2|0|14/02/2031|Int. Swaps|US Dollar|Fixed|fixed|57.89|||0.0569|4.45|99.9691|315|0.0395|E|0.05766
44|20195007|11|158|4|1|1|1|20/04/2030|3 mo. Libor|US Dollar|Floating|floating|24.3|||737|||737||D|
45|20193007|20|158|1|2|2|0|15/06/2022|EDSF|US Dollar|Fixed|fixed|123.491|||0.0318|0.77|99.9957|47|0.544|A|0.03207
45|20195007||158|5|||1|20/04/2030||US Dollar|||22.5||||||||E|
46|20193007|20|158|2|2|2|0|16/12/2024|EDSF|US Dollar|Fixed|fixed|40.015|||0.0358|1.96|99.996|90|0.393|B|0.03609
46|20195007||158|6|||1|||US Dollar|||40||||||||Sub|
47|20193007|23|158|3|2|2|0|16/12/2024|Int. Swaps|US Dollar|Fixed|fixed|35.245|||0.0389|2.7|99.9892|125|0.26|C|0.03926
47|20195008|11|158|1|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|295|||130|||130|0.41|A-1|
48|20193007|23|158|4|2|2|0|16/12/2024|Int. Swaps|US Dollar|Fixed|fixed|29.944|||0.0435|3.53|99.9732|175|0.147|D|0.04398
48|20195008|11|158|2|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|30|||170|||170|0.35|A-2|
49|20193007|23|158|5|2|2|0|16/03/2026|Int. Swaps|US Dollar|Fixed|fixed|25.705|||0.0581|4.12|99.9745|325|0.05|E|0.05888
49|20195008|11|158|3|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|47.25|||185|||185|0.2555|B|
50|20193008|2|158|1|1|1|0|21/01/2021|1 mo. Libor|US Dollar|Floating|floating|450|||48|1.99|100|48|0.055|A|
50|20195008|11|158|4|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|33|||270|||270|0.1895|C|
51|20193008|20|158|2|2|2|0|21/01/2021|EDSF|US Dollar|Fixed|fixed|9.524|||0.0357|1.99|99.9854|90|0.035|B|0.03604
51|20195008|11|158|6|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|22.25|||649|||695|0.0875|E|
52|20193008|20|158|3|2|2|0|21/01/2021|EDSF|US Dollar|Fixed|fixed|16.667|||0.0402|1.99|99.9987|135|0|C|0.04054
52|20195008||158|7|1||1|15/04/2031||US Dollar|Floating||50.8|||||||0|Sub|
53|20191003|41|158|1|2|2|0|15/01/2020|Int. Libor|US Dollar|Fixed|fixed|277|||0.027801|0.28|100|-1|0.079|A-1|0.0278
53|20195009|11|158|1|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|7.5|||75|1.88|100|75|0|X-RR|
54|20191003|20|158|2|2|2|0|15/07/2022|EDSF|US Dollar|Fixed|fixed|412|||0.0302|1.16|99.9934|31|0.079|A-2A|0.03045
54|20195009|11|158|3|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|37.5|||170|7.75|100|170|0.35|A-1B-RR|
55|20191003|2|158|3|1|1|0|15/07/2022|1 mo. Libor|US Dollar|Floating|floating|100||||1.16|100|31|0.079|A-2B|
55|20195009|11|158|2|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|450|||130|6.23|100|130|0.4|A-1A-RR|
56|20191003|23|158|4|2|2|0|15/03/2024|Int. Swaps|US Dollar|Fixed|fixed|493.9|||0.0305|2.64|99.9887|40|0.079|A-3|0.03074
56|20195009|11|158|4|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|86.25|||190|8.34|100|190|0.235|A-2-RR|
57|20191003|23|158|5|2|2|0|15/08/2024|Int. Swaps|US Dollar|Fixed|fixed|107.91|||0.0326|3.84|99.9973|65|0.079|A-4|0.03283
57|20195009|11|158|5|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|36|||280|8.98|100|280|0.187|B-RR|
58|20191003|23|158|6|2|2|0|15/11/2024|Int. Swaps|US Dollar|Fixed|fixed|42.17|||0.0345|3.98|99.9851|85|0.051|B|0.03479
58|20195009|11|158|7|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|37|||700|10.02|99|715|0.084|D-RR|
59|20191003|23|158|7|2|2|0|15/01/2025|Int. Swaps|US Dollar|Fixed|fixed|39.91|||0.0374|3.98|99.9647|115|0.0245|C|0.03779
59|20195008|11|158|5|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|28.75|||385|||385|0.132|D|
60|20191003|23|158|8|2|2|0|15/08/2025|Int. Swaps|US Dollar|Fixed|fixed|27.11|||0.0404|3.98|99.9826|145|0.0065|D|0.04079
60|20195009|11|158|6|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|40.25|||395|9.47|100|395|0.1333|C-RR|
61|20194001||8|1|||0|20/04/2051||Australian Dollar||||260|||||||A1-AU|
61|20195009|11|158|8|1|1|1|14/02/2031|3 mo. Libor|US Dollar|Floating|floating|12|||950|10.43|97|1000|0.068|E-RR|
62|20194001||8|2|||0|20/04/2051||Australian Dollar||||100|||||||A1-3Y|
62|20195010|11|158|2|1|1|1|19/01/2032|3 mo. Libor|US Dollar|Floating|floating|84|||185|8.79|100|185|0.25|B|
63|20194001||8|3|||0|20/04/2051||Australian Dollar||||25.2|||||||AB|
63|20195010|11|158|1|1|1|1|19/01/2032|3 mo. Libor|US Dollar|Floating|floating|366|||133|6.66|100|133|0.39|A|
64|20194001||8|4|||0|20/04/2051||Australian Dollar||||6.8|||||||B|
64|20195009||158|9|1||1|14/02/2031||US Dollar|Floating||85|||||||0|Sub|
65|20194001||8|5|||0|20/04/2051||Australian Dollar||||4.8|||||||C|
65|20195010|11|158|3|1|1|1|19/01/2032|3 mo. Libor|US Dollar|Floating|floating|45|||265|9.11|100|265|0.175|C|
66|20194001||8|6|||0|20/04/2051||Australian Dollar||||1.4|||||||D|
66|20195010|11|158|4|1|1|1|19/01/2032|3 mo. Libor|US Dollar|Floating|floating|30|||385|9.31|100|385|0.125|D|
67|20194001||8|7|||0|20/04/2051||Australian Dollar||||1|||||||E|
67|20195010||158|6|||1|19/01/2032||US Dollar|||53.755|||||||0|Equity|
68|20194001||8|8|||0|20/04/2051||Australian Dollar||||0.8|||||||F|
68|20195010|11|158|5|1|1|1|19/01/2032|3 mo. Libor|US Dollar|Floating|floating|23.25|||670|9.49|98.1359|700|0.08625|E|
69|20192003||158|1|2||0|25/11/2048||US Dollar|Fixed||262.63|||0.04|4.95|99.9219||0.15|A-1|
69|20195011|2|158|1|1|1|2|15/01/2036|1 mo. Libor|US Dollar|Floating|floating|273||||2.65|100||0.545|A|
70|20192003||158|2|2||0|25/11/2048||US Dollar|Fixed||94.5|||0.04|2.78|100.8594||0.15|A-3|
70|20195011|2|158|2|1|1|2|15/01/2036|1 mo. Libor|US Dollar|Floating|floating|51||||2.85|100||0.46|A-S|
71|20192003|23|158|3|2|2|0|25/11/2048|Int. Swaps|US Dollar|Fixed|fixed|31.5|||0.04|11.46|97.9003|140|0.15|A-5|
71|20195011|2|158|3|1|1|2|15/01/2036|1 mo. Libor|US Dollar|Floating|floating|38.2||||2.85|100||0.39633|B|
72|20192003|23|158|4|2|2|0|25/11/2048|Int. Swaps|US Dollar|Fixed|fixed|129.75|||0.04|2.04|100.7366|75|0.15|A-7|
72|20195011|2|158|4|1|1|2|15/01/2036|1 mo. Libor|US Dollar|Floating|floating|41.2||||2.85|100||0.32767|C|
73|20194033||8|9|||0|20/07/2050||Australian Dollar|||0.8034|1.125||||||0|F|
73|20195011|2|158|5|1|1|2|15/01/2036|1 mo. Libor|US Dollar|Floating|floating|46.5||||3.2|100||0.25017|D|
74|20192003|23|158|5|2|2|0|25/11/2048|Int. Swaps|US Dollar|Fixed|fixed|86.5|||0.04|9.31|98.6953|138|0.15|A-9|
74|20195012|11|158|4|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|27.75|||290|8.39|||0.1845|C|
75|20192003||158|6|2||0|25/11/2048||US Dollar|Fixed||65.861|||0.04|4.95|99.0469||0.0575|A-17|
75|20195012|11|158|1|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|305|||137|6.21|||0.39|A|
76|20192003||158|7|2||0|25/11/2048||US Dollar|Fixed||12.81|||0.0406||||0.0395|B-1|
76|20195012|11|158|2|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|55|||195|7.56|||0.24|B-1|
77|20192003||158|8|2||0|25/11/2048||US Dollar|Fixed||11.743|||0.0406||||0.023|B-2|
77|20195012|11|158|5|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|28.75|||390|8.93|||0.127|D|
78|20192003||158|9|2||0|25/11/2048||US Dollar|Fixed||7.828|||0.0406||||0.012|B-3|
78|20195012|11|158|3|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|20|||4.58|7.56|||0.24|B-2|
79|20192003||158|10|2||0|25/11/2048||US Dollar|Fixed||3.558|||0.0406||||0.007|B-4|
79|20195013|11|158|1|1|1|1|16/04/2032|3 mo. Libor|US Dollar|Floating|floating|256|||150||100|150|0.36|A|
80|20192003||158|11|2||0|25/11/2048||US Dollar|Fixed||4.982|||0.0406||||0|B-5|
80|20195013|11|158|2|1|1|1|16/04/2032|3 mo. Libor|US Dollar|Floating|floating|35.2|||215||100|215|0.242|B-1|
81|20192004||158|1|2||0|25/05/2049||US Dollar|Fixed||235|||0.04|5|||0.12|A-3|
81|20195013|23|158|3|2|2|1|16/04/2032|Int. Swaps|US Dollar|Fixed|fixed|12|||0.04849|||215|0.242|B-2|
82|20192004||158|2|2||0|25/05/2049||US Dollar|Fixed||83.7|||0.04|2.78|||0.12|A-4|
82|20195013|11|158|4|1|1|1|16/04/2032|3 mo. Libor|US Dollar|Floating|floating|16.4|||300||100|300|0.201|C|
83|20192004|23|158|3|2|2|0|25/05/2049|Int. Swaps|US Dollar|Fixed|fixed|71.858|||0.04|11.66||145|0.12|A-5|
83|20195013|11|158|5|1|1|1|16/04/2032|3 mo. Libor|US Dollar|Floating|floating|22|||400||100|400|0.146|D|
84|20192004|23|158|4|2|2|0|25/05/2049|Int. Swaps|US Dollar|Fixed|fixed|202.036|||0.04|2||75|0.12|A-6|
84|20195013|11|158|6|1|1|1|16/04/2032|3 mo. Libor|US Dollar|Floating|floating|20|||655|||700|0.096|E|
85|20192004|23|158|5|2|2|0|25/05/2049|Int. Swaps|US Dollar|Fixed|fixed|28|||0.04|5.67||135|0.12|A-7|
85|20195013||158|7|1||1|16/04/2032||US Dollar|Floating||44|||||||0|Sub|
86|20192004|23|158|6|2|2|0|25/05/2049|Int. Swaps|US Dollar|Fixed|fixed|68|||0.04|9.33||142|0.12|A-10|
86|20195014|11|158|1|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|310|||132|||132||A-1-R|
87|20192004|2|158|7|1|1|0|25/05/2049|1 mo. Libor|US Dollar|Floating|floating|172.148|||95|5||120|0.12|A-11|
87|20195012|11|158|6|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|23.5|||630|9.5|||0.08|E|
88|20192004||158|8|2||0|25/05/2049||US Dollar|Fixed||58.687|||0.04|5|||0.06|A-15|
88|20195012||158|7|1||1|20/01/2032||US Dollar|Floating||48.8|||||||0|Sub|
89|20192004||158|9|2||0|25/05/2049||US Dollar|Fixed||14.672|||0.04544||||0.045|B-1|
89|20195014|11|158|2|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|64.7|||182|||182||A-2-RR|
90|20192004||158|10|2||0|25/05/2049||US Dollar|Fixed||18.095|||0.04544||||0.0265|B-2|
90|20195014|11|158|3|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|23|||275|||275||B-R|
91|20192004||158|11|2||0|25/05/2049||US Dollar|Fixed||10.759|||0.04544||||0.0155|B-3|
91|20195014|11|158|4|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|30.2|||375|||375||C-R|
92|20192004||158|12|2||0|25/05/2049||US Dollar|Fixed||8.314|||0.04544||||0.007|B-4|
92|20195014|11|158|5|1|1|1|20/01/2032|3 mo. Libor|US Dollar|Floating|floating|29.7|||670|||700||D-R|
93|20192004||158|13|2||0|25/05/2049||US Dollar|Fixed||1.957|||0.04544||||0.005|B-5|
93|20195014||158|6|1||1|20/01/2032||US Dollar|Floating||47.95||||||||Sub|
94|20192004||158|14|2||0|25/05/2049||US Dollar|Fixed||4.891|||0.04544||||0|B-6|
94|20195015|8||1|1|1|1|15/03/2032|3 mo. Euribor||Floating|floating|2.8623|2.5||55||100|55|0|X|
95|20193009|20|158|1|2|2|0|15/06/2048|EDSF|US Dollar|Fixed|fixed|250|||0.0318|1.5|99.9985|43|0.1123|A-1|0.03202
95|20195015|8||2|1|1|1|15/03/2032|3 mo. Euribor||Floating|floating|274.776|240||108||100|108|0.4|A-1|
96|20193009|23|158|2|2|2|0|15/06/2048|Int. Swaps|US Dollar|Fixed|fixed|195|||0.0369|5.66|99.9871|100|0.1123|A-2|0.03721
96|20195015|8||3|1|1|1|15/03/2032|3 mo. Euribor||Floating|floating|41.2164|36||180||100|180|0.285|A-2A|
97|20193009|23|158|3|2|2|0|15/06/2048|Int. Swaps|US Dollar|Fixed|fixed|37|||0.0411|9.04|99.9948|135|0.0386|B|0.04146
97|20195015|||4|2||1|15/03/2032|||Fixed||11.449|10||0.0255||100||0.285|A-2B|0.0255
98|20193010|20|158|1|2|2|0|25/11/2048|EDSF|US Dollar|Fixed|fixed|390.145|||0.0392|1.99|99.9997|105|0.36|A-1|0.03811
98|20195015|8||5|1|1|1|15/03/2032|3 mo. Euribor||Floating|floating|26.3327|23||265||100|265|0.2275|B|
99|20193010|20|158|2|2|2|0|25/11/2048|EDSF|US Dollar|Fixed|fixed|54.255|||0.04022|1.99|99.9993|115|0.271|A-2|0.03911
99|20195015|8||6|1|1|1|15/03/2032|3 mo. Euribor||Floating|floating|30.9123|27||400||100|400|0.16|C|
100|20193010|20|158|3|2|2|0|25/11/2048|EDSF|US Dollar|Fixed|fixed|49.072|||0.04124|1.99|99.9989|125|0.1905|A-3|0.04011
100|20195015|8||7|1|1|1|15/03/2032|3 mo. Euribor||Floating|floating|25.9892|22.7||612||96.05|670|0.1033|D|
101|20193010|23|158|4|2|2|0|25/11/2048|Int. Swaps|US Dollar|Fixed|fixed|40.844|||0.045|4.08|99.998|175|0.1235|M-1|0.04461
101|20195016|8||1|1|1|1|28/02/2032|3 mo. Euribor||Floating|floating|343.77|300||108||||0.4|A-1A|
102|20193010|23|158|5|2|2|0|25/11/2048|Int. Swaps|US Dollar|Fixed|fixed|20.726|||0.054|4.08|99.9988|265|0.0895|B-1|0.05361
102|20195016|8||2|1|1|1|28/02/2032|3 mo. Euribor||Floating|floating|11.459|10||140||||0.38|A-1B|
103|20194003||35|1|||0|26/05/2023||Yuan Renminbi|||88.524|600||||||0.517|A-1|
103|20195016|8||3|1|1|1|28/02/2032|3 mo. Euribor||Floating|floating|53.2844|46.5||185||||0.275|A-2A|
104|20194003||35|2|||0|26/05/2023||Yuan Renminbi|||44.262|300||||||0.517|A-2|
104|20195016|||4|2||1|28/02/2032|||Fixed||6.8754|6||0.025||||0.275|A-2B|
105|20194003||35|3|||0|26/05/2023||Yuan Renminbi|||126.8844|860||||||0.056|B|
105|20195016|8||8|1|1|1|28/02/2032|3 mo. Euribor||Floating|floating|13.7508|12||845||||0.076|E|
106|20194003||35|4|||0|26/05/2023||Yuan Renminbi|||15.4917|105||||||0|Sub|
106|20195016|8||6|1|1|1|28/02/2032|3 mo. Euribor||Floating|floating|37.8147|33||425||||0.153|C|
107|20193011|2|158|1|1|1|0|17/01/2023|1 mo. Libor|US Dollar|Floating|floating|1000|||48|1.96|100|48|0.065|A|
107|20195016|8||5|1|1|1|28/02/2032|3 mo. Euribor||Floating|floating|32.0852|28||290||||0.219|B|
108|20193011|20|158|2|2|2|0|17/01/2023|EDSF|US Dollar|Fixed|fixed|42.78|||0.0359|1.96|99.9977|90|0.025|B|0.03618
