tranche_id|deal_id|benchmark_id|currency_id|order_id|rate_type_id|rate_type_benchmark_id|flag_abs_clo_cre|Maturity Date|Benchmark|Currency|Rate Type|Benchmark Rate Type|Class Amount ($M)|Denomination Amount|Notional Amount ($M)|Coupon|Average Life (Years)|Price|Spread|% Subordination|Tranche Class|Yield
131|20195019|8||7|1|1|1|30/03/2032|3 mo. Euribor||Floating|floating|25.1004|22.15||403|8.5||403|0.155|D|
132|20193015|23|158|2|2|2|0|25/02/2058|Int. Swaps|US Dollar|Fixed|fixed|81.4854||||10.66|95.6985|150|0.187|A-2|0.04259
132|20195019|8||6|1|1|1|30/03/2032|3 mo. Euribor||Floating|floating|24.4771|21.6||295|7.9|100|295|0.218|C|
133|20193015||158|3|||0|25/02/2058||US Dollar|||56.909|||||||0.143|M-1|
133|20195019|8||8|1|1|1|30/03/2032|3 mo. Euribor||Floating|floating|21.7008|19.15||610|9||610|0.1|E|
134|20193015||158|4|||0|25/02/2058||US Dollar|||45.2699|||||||0.108|M-2|
134|20195019|8||9|1|1|1|30/03/2032|3 mo. Euribor||Floating|floating|8.2157|7.25||844|9.4||844|0.075|F|
135|20193015||158|5|||0|25/02/2058||US Dollar|||34.9212|||||||0.081|B-1|
135|20195019|||10|1||1|30/03/2032|||Floating||41.5318|36.65||||||0|Sub|
136|20193015||158|6|||0|25/02/2058||US Dollar|||21.9878|||||||0.064|B-2|
136|20195020|8||1|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|2.2664|2||58||100|58|0|X|
137|20193015||158|7|||0|25/02/2058||US Dollar|||15.5221|||||||0.052|B-3|
137|20195020|8||2|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|271.968|240||108||100|108|0.4|A|
138|20193015||158|8|||0|25/02/2058||US Dollar|||15.5201|||||||0.04|B-4|
138|20195020|8||3|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|51.5606|45.5||185||100|185|0.2863|B|
139|20193015||158|9|||0|25/02/2058||US Dollar|||51.7376|||||||0|B-5|
139|20195020|8||4|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|26.6302|23.5||275||100|275|0.2275|C|
140|20193016|23|158|1|2|2|0|21/12/2043|Int. Swaps|US Dollar|Fixed|fixed|229.5|||0.0437|4.91|99.9667|175|0.1723|A|0.04418
140|20195020|||8|||1|15/11/2032|||||2.2664|2||||||0|Z|
141|20193016||158|2|||0|21/12/2043||US Dollar|||30.2||||3.24|74||0.062|B|
141|20195020|8||5|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|31.163|27.5||381|||390|0.1588|D|
142|20193016||158|3|||0|21/12/2043||US Dollar|||14|||||||0|R|
142|20195020|8||7|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|10.7654|9.5||816|||935|0.0775|F|
143|20193017|23|158|1|2|2|0|21/08/2023|Int. Swaps|US Dollar|Fixed|fixed|75.59|||0.0468|2.06|99.9836|200|0.493|A|0.04734
143|20195020|8||6|1|1|1|15/11/2032|3 mo. Euribor||Floating|floating|26.0636|23||576|||660|0.1013|E|
144|20193017|23|158|2|2|2|0|21/08/2023|Int. Swaps|US Dollar|Fixed|fixed|18.86|||0.0542|2.06|99.9943|275|0.364|B|0.05484
144|20195020|||9|||1|15/11/2032|||||43.6282|38.5||||||0|M-1|
145|20193017|23|158|3|2|2|0|21/08/2023|Int. Swaps|US Dollar|Fixed|fixed|20.54|||0.0688|2.06|99.9896|425|0.2235|C|0.06984
145|20195020|||10|||1|15/11/2032|||||0.1133|0.1||||||0|M-2|
146|20193017|23|158|4|2|2|0|21/08/2023|Int. Swaps|US Dollar|Fixed|fixed|20.91|||0.0954|2.06|99.9923|700|0.0805|D|0.09734
146|20195021|11|158|1|1|1|1|17/07/2028|3 mo. Libor|US Dollar|Floating|floating|256|||122||100|122||A|
147|20191006|23|158|1|2|2|0|15/07/2024|Int. Swaps|US Dollar|Fixed|fixed|1250|||0.0304|2.96|99.9979|38|0.21|A|0.0306
147|20195021|11|158|2|1|1|1|17/07/2028|3 mo. Libor|US Dollar|Floating|floating|46|||185||100|185||B|
148|20193018|23|158|1|2|2|0|15/02/2027|Int. Swaps|US Dollar|Fixed|fixed|235.07|||0.04459|3.3|100|186||A-2|0.045
148|20195021|11|158|3|1|1|1|17/07/2028|3 mo. Libor|US Dollar|Floating|floating|22|||270||100|270||C|
149|20194047||117|1|||0|16/07/2050||New Zealand Dollar|||118.3175|175||||||0.3|A-1|
149|20195021|11|158|4|1|1|1|17/07/2028|3 mo. Libor|US Dollar|Floating|floating|24|||380||100|380||D|
150|20193018|23|158|2|2|2|0|15/02/2027|Int. Swaps|US Dollar|Fixed|fixed|37.68|||0.05438|3.3|100|286||B|0.055
150|20195021|11|158|5|1|1|1|17/07/2028|3 mo. Libor|US Dollar|Floating|floating|20|||690|||710||E|
151|20193019|23|158|1|2|2|0|25/03/2023|Int. Swaps|US Dollar|Fixed|fixed|538.142|||0.0371|3.14|99.9814|110||A|0.03745
151|20195022|8||4|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|43.4842|38.4||185||||0.289|B-1|
152|20193019|23|158|2|2|2|0|25/03/2023|Int. Swaps|US Dollar|Fixed|fixed|123.777|||0.041|3.14|99.971|150||B|0.04145
152|20195022|||3|2||1|15/07/2031|||Fixed||33.972|30||0.013||||0.4|A-2|
153|20193019|23|158|3|2|2|0|25/03/2023|Int. Swaps|US Dollar|Fixed|fixed|38.081|||0.0499|3.14|99.9911|240||C|0.05045
153|20195022|8||8|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|27.6306|24.4||619||||0.099|E|
154|20191007|41|158|1|2|2|0|28/02/2020|Int. Libor|US Dollar|Fixed|fixed|189|||0.02753|0.34|100|-1|0.045|A-1|0.02753
154|20195022|8||7|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|26.7246|23.6||400||||0.16|D|
155|20191007|20|158|2|2|2|0|16/05/2022|EDSF|US Dollar|Fixed|fixed|252|||0.0296|1.11|99.9918|25|0.045|A-2|0.02986
155|20195022|8||6|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|31.7072|28||275||||0.219|C|
156|20191007|23|158|3|2|2|0|15/04/2024|Int. Swaps|US Dollar|Fixed|fixed|252|||0.0301|2.57|99.978|35|0.045|A-3|0.03038
156|20195022|8||9|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|10.6446|9.4||869||||0.0755|F|
157|20191007|23|158|4|2|2|0|15/01/2026|Int. Swaps|US Dollar|Fixed|fixed|75.35|||0.0322|3.9|99.97|61|0.045|A-4|0.0325
157|20195022|||10|1||1|15/07/2031|||Floating||43.2011|38.15||||||0|Sub|
158|20191007|23|158|5|2|2|0|15/07/2026|Int. Swaps|US Dollar|Fixed|fixed|17.69|||0.0334|3.94|99.9795|73|0.0225|B|0.03369
158|20195022|||5|2||1|15/07/2031|||Fixed||6.7944|6||0.0235||||0.289|B-2|
159|20193020|23|158|1|2|2|0|25/03/2049|Int. Swaps|US Dollar|Fixed|fixed|242.714|||0.03705|2.08|99.9987|95|0.358|A-1|0.03607
159|20195022|8||1|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|1.6986|1.5||45||||0|X|
160|20193020|23|158|2|2|2|0|25/03/2049|Int. Swaps|US Dollar|Fixed|fixed|15.312|||0.03909|2.08|99.9982|115|0.3175|A-2|0.03807
160|20195022|8||2|1|1|1|15/07/2031|3 mo. Euribor||Floating|floating|237.804|210||108||||0.4|A-1|
161|20193020|23|158|3|2|2|0|25/03/2049|Int. Swaps|US Dollar|Fixed|fixed|69.374|||0.04012|2.08|99.9999|125|0.134|A-3|0.03907
161|20195023|11|158|1|1|1|1|25/01/2032|3 mo. Libor|US Dollar|Floating|floating|270.5|||140||100|140|0.385|A-1|
162|20193020|23|158|4|2|2|0|25/03/2049|Int. Swaps|US Dollar|Fixed|fixed|21.738|||0.04518|3.98|99.9977|190|0.0765|M-1|0.04477
162|20195023|11|158|2|1|1|1|25/01/2032|3 mo. Libor|US Dollar|Floating|floating|8.9|||175||100|175|0.365|A-2|
163|20193021|20|158|1|2|2|0|15/04/2025|EDSF|US Dollar|Fixed|fixed|127.32|||0.0354|0.92|99.9939|90|0.3597|A|0.03573
163|20195023|11|158|3|1|1|1|25/01/2032|3 mo. Libor|US Dollar|Floating|floating|38.1|||200||100|200|0.278|B|
164|20193021|23|158|2|2|2|0|15/04/2025|Int. Swaps|US Dollar|Fixed|fixed|25.027|||0.0403|2.21|99.9977|145|0.2329|B|0.04065
164|20195023|11|158|4|1|1|1|25/01/2032|3 mo. Libor|US Dollar|Floating|floating|22.8|||275||100|275|0.227|C|
165|20193021|23|158|3|2|2|0|15/04/2025|Int. Swaps|US Dollar|Fixed|fixed|19.317|||0.0527|2.78|99.9876|275|0.135|C|0.05333
165|20195023|11|158|5|1|1|1|25/01/2032|3 mo. Libor|US Dollar|Floating|floating|27.5|||385||100|385|0.164|D|
