auto_id|comp_id|sector_id|sector_id_nav|Symbol|Sector|NAV Sector|Cap-Ex Reserve|Economic Cap Rate|Nominal Cap Rate|Nominal NOI|Economic NOI|Operating Value of RE|Property Type
19239|20|9|9|CUZ|Office|Office|0.27284711|0.0454566|0.06251312|448365.71424437|326030.42269452|7172345.43183116|Office
19240|10|9|9|BXP|Office|Office|0.23753881|0.03646511|0.04782553|1483105.60681795|1130810.46624983|31010749.2658677|Office Properties
19241|10|9|50|BXP|Office|Other|0.24999909|0.04215422|0.05620556|32823.228948|24617.451711|583985.41667862|Office/Technical
19242|10|9|1|BXP|Office|Apartment|0.15|0.03108842|0.03657461|22014.62884324|18712.43451676|601910.18239018|Apartments
19243|10|9|5|BXP|Office|Lodging|0.25806452|0.02782258|0.0375|6716.66666667|4983.33333333|179111.11111111|Lodging
19274|179|5|5|DRH|Lodging|Lodging|0.3|0.01256558|0.01795083|55748.6|39024.02|3105627.43675188|Lodging
19275|259|5|5|APLE|Lodging|Lodging|0.3|0.03235493|0.04622133|205244.4|143671.08|4440469.41382007|Lodging
19276|39|5|5|HST|Lodging|Lodging|0.3|0.00962095|0.01374421|224568.75|157198.125|16339156.2588511|Lodging
19277|156|5|5|SHO|Lodging|Lodging|0.3|0.00909159|0.01298799|44738.1|31316.67|3444575.18176466|Lodging
19278|214|5|5|PEB|Lodging|Lodging|0.3|0.01005001|0.01435716|80920|56644|5636210.93404053|Lodging
19279|266|5|5|PK|Lodging|Lodging|0.3|0.01030693|0.01472419|142845.42674909|99991.79872436|9701413.29909898|Lodging
19280|231|5|5|RLJ|Lodging|Lodging|0.3|0.0147308|0.021044|92064.42|64445.094|4374852.7|Lodging
