Property ID|grade_id|manager_id|market_id|state_id|type_id|Year Built|year_acquired|year_renovation|Grade|Manager|Market|Type|Property|Address|City|State|Zip|Latitude|Longitude|GLA Mall|GLA Shop|groundLease|HHI_10mi|levels|movie|NOI_estimate|Occupancy|population_10mi|Sales per SF|sales_SF_exApple|screens|Stores|superZipsServed_10mi|tap_score|Value|Nominal Cap Rate
60|8|62|152|21|1|1980|||B+||Baltimore|Mall|Annapolis|2002 Annapolis Mall|Annapolis|MD|21401|38.9918|-76.544186|1389619.49|706181.19717704||120694.72358642|2|Bow Tie Cinema|34.24371103|0.94785714|300739|561.35|505|11|246|1|70.6|328.79520205|0.10414906
61|7|16|2|5|1|1990|1999|1999|B||Other|Mall|Antelope Valley Mall|1233 Rancho Vista Blvd.|Palmdale|CA|93551|34.602155|-118.1518779|1184000|478000||67041.63881517|1|Cinemark|16.52844967|0.8438|344317|397.8|397.8|13|135|0|34.1|138.27088347|0.11953673
62|8|17|2|24|1|1969|1998|2002|B+||Other|Mall|Apache Mall|HWY 52 South and 14 East|Rochester|MN|55902|44.0271751|-92.4883073|782453|413337||86014.71874487|1|none|17.48247394|0.95785714|142813|432.6|432.6||113|0|69.4|167.86012319|0.10414906
63|6|4|150|11|1|1999||0|B-||Atlanta|Mall|Arbor Place|6700 Douglas Boulevard|Douglasville|GA|30135|33.729673|-84.747697|1162064|307634||70119.70656449|2|Regal Cinemas|13.96748|0.95|246390|372|372|18|151|0|35.5|104.35797321|0.133842
64|7|54|205|4|5|1997||1997|B||Phoenix|Outlet Center|Arizona Mills|5000 S. Arizona Mills Circle|Tempe|AZ|85282|33.384741|-111.966865|1237900|1237900||67907.86290849|1|Harkins Theater|23.21441271|0.971|1164468|523.6|523.6|25|175|3|67.4|252.94876353|0.09177516
65|2||2|22|1|1993|||D||Other|Mall|Aroostook Centre|830 Main St.|Presque Isle|ME|4769|46.701269|-68.009535|525000|262500||45160.69171808|1|none|0.76473925|0.67|17604|137.2|137.2||36|0|1.6|2.47225553|0.30932856
66|10|35|205|4|1|1993|2002|2004|A||Phoenix|Mall|Arrowhead Towne Center|7700 West Arrowhead Towne Center|Glendale|AZ|85308|33.63974|-112.224765|1197000|390000||66736.54549464|2|AMC 14 Theatres|20.78246449|0.971|1076839|922|800|14|193|0|70.9|275.60749003|0.07540602
67|9|244|154|20|4|1983|1999|1997|A-||Boston|Lifestyle Center|Arsenal Yards|485 Arsenal St.|Watertown|MA|2472|42.363231|-71.162512|440124|175846||100360.86275308|2|none|7.65630749|0.8965|1850548|384.8|384.8||65|33|99.7|85.86403685|0.0891678
68|6|4|2|28|1|1972|2000|2000|B-||Other|Mall|Asheville Mall|3 South Tunnel Road|Asheville|NC|28805|35.58446|-82.52631|973367|265463||60758.85223599|1|none|9.15214447|0.87|211905|363|363||126|0|40|68.38021229|0.133842
69|7|19|2|18|1|1993|2002|2004|B||Other|Mall|Ashland Town Center|500 Winchester Avenue|Ashland|KY|41101|38.484608|-82.65166|434525|196777.8||50863.55670475|1|Cinemark Movies 10|6.63772025|0.947|109992|418.2|418.2|10|62|0|12.4|55.52870727|0.11953673
70|6|195|2|20|1|1971|1999|1998|B-||Other|Mall|Auburn Mall|385 Southbridge Street|Auburn|MA|1501|42.202961|-71.837678|584602|262682.55||76123.53573273|1|none|5.61436637|0.97|355804|297|297||55|0|40.6|41.94771678|0.133842
71|5|318|168|6|1|1975|1998|2005|C+||Denver|Mall|Town Center at Aurora|14200 East Alameda Ave.|Aurora|CO|80012|39.710963|-104.822937|1081541|486447.75||83502.02873797|2|Century Theatre|15.08132778|0.944|1096051|323.4|323.4|16|131|2|56.9|81.21788317|0.18568974
